,Year,MON,NAO
241,1970,2,0.64
242,1970,3,-0.96
243,1970,4,-1.3
244,1970,5,1.14
245,1970,6,1.55
246,1970,7,0.1
247,1970,8,0.1
248,1970,9,-0.09
249,1970,10,-0.92
250,1970,11,-0.6
251,1970,12,-1.2
252,1971,1,-1.13
253,1971,2,0.24
254,1971,3,-0.84
255,1971,4,-0.24
256,1971,5,0.5
257,1971,6,-1.57
258,1971,7,0.24
259,1971,8,1.55
260,1971,9,0.39
261,1971,10,0.58
262,1971,11,-0.2
263,1971,12,0.6
264,1972,1,0.27
265,1972,2,0.32
266,1972,3,0.72
267,1972,4,-0.22
268,1972,5,0.95
269,1972,6,0.88
270,1972,7,0.18
271,1972,8,1.32
272,1972,9,-0.12
273,1972,10,1.09
274,1972,11,0.54
275,1972,12,0.19
276,1973,1,0.04
277,1973,2,0.85
278,1973,3,0.3
279,1973,4,-0.54
280,1973,5,-0.44
281,1973,6,0.39
282,1973,7,0.57
283,1973,8,-0.06
284,1973,9,-0.3
285,1973,10,-1.24
286,1973,11,-0.93
287,1973,12,0.32
288,1974,1,1.34
289,1974,2,-0.14
290,1974,3,-0.03
291,1974,4,0.51
292,1974,5,-0.24
293,1974,6,-0.14
294,1974,7,-0.76
295,1974,8,-0.64
296,1974,9,0.82
297,1974,10,0.49
298,1974,11,-0.54
299,1974,12,1.5
300,1975,1,0.58
301,1975,2,-0.62
302,1975,3,-0.61
303,1975,4,-1.6
304,1975,5,-0.52
305,1975,6,-0.84
306,1975,7,1.55
307,1975,8,-0.26
308,1975,9,1.56
309,1975,10,-0.54
310,1975,11,0.41
311,1975,12,0.0
312,1976,1,-0.25
313,1976,2,0.93
314,1976,3,0.75
315,1976,4,0.26
316,1976,5,0.96
317,1976,6,0.8
318,1976,7,-0.32
319,1976,8,1.92
320,1976,9,-1.29
321,1976,10,-0.08
322,1976,11,0.17
323,1976,12,-1.6
324,1977,1,-1.04
325,1977,2,-0.49
326,1977,3,-0.81
327,1977,4,0.65
328,1977,5,-0.86
329,1977,6,-0.57
330,1977,7,-0.45
331,1977,8,-0.28
332,1977,9,0.37
333,1977,10,0.52
334,1977,11,-0.07
335,1977,12,-1.0
336,1978,1,0.66
337,1978,2,-2.2
338,1978,3,0.7
339,1978,4,-1.17
340,1978,5,1.08
341,1978,6,1.38
342,1978,7,-1.14
343,1978,8,0.64
344,1978,9,0.46
345,1978,10,1.93
346,1978,11,3.04
347,1978,12,-1.57
348,1979,1,-1.38
349,1979,2,-0.67
350,1979,3,0.78
351,1979,4,-1.71
352,1979,5,-1.03
353,1979,6,1.6
354,1979,7,0.83
355,1979,8,0.96
356,1979,9,1.01
357,1979,10,-0.3
358,1979,11,0.53
359,1979,12,1.0
360,1980,1,-0.75
361,1980,2,0.05
362,1980,3,-0.31
363,1980,4,1.29
364,1980,5,-1.5
365,1980,6,-0.37
366,1980,7,-0.42
367,1980,8,-2.24
368,1980,9,0.66
369,1980,10,-1.77
370,1980,11,-0.37
371,1980,12,0.78
372,1981,1,0.37
373,1981,2,0.92
374,1981,3,-1.19
375,1981,4,0.36
376,1981,5,0.2
377,1981,6,-0.45
378,1981,7,0.05
379,1981,8,0.39
380,1981,9,-1.45
381,1981,10,-1.35
382,1981,11,-0.38
383,1981,12,-0.02
384,1982,1,-0.89
385,1982,2,1.15
386,1982,3,1.15
387,1982,4,0.1
388,1982,5,-0.53
389,1982,6,-1.63
390,1982,7,1.15
391,1982,8,0.26
392,1982,9,1.76
393,1982,10,-0.74
394,1982,11,1.6
395,1982,12,1.78
396,1983,1,1.59
397,1983,2,-0.53
398,1983,3,0.95
399,1983,4,-0.85
400,1983,5,-0.07
401,1983,6,0.99
402,1983,7,1.19
403,1983,8,1.61
404,1983,9,-1.12
405,1983,10,0.65
406,1983,11,-0.98
407,1983,12,0.29
408,1984,1,1.66
409,1984,2,0.72
410,1984,3,-0.37
411,1984,4,-0.28
412,1984,5,0.54
413,1984,6,-0.42
414,1984,7,-0.07
415,1984,8,1.15
416,1984,9,0.17
417,1984,10,-0.07
418,1984,11,-0.06
419,1984,12,0.0
420,1985,1,-1.61
421,1985,2,-0.49
422,1985,3,0.2
423,1985,4,0.32
424,1985,5,-0.49
425,1985,6,-0.8
426,1985,7,1.22
427,1985,8,-0.48
428,1985,9,-0.52
429,1985,10,0.9
430,1985,11,-0.67
431,1985,12,0.22
432,1986,1,1.11
433,1986,2,-1.0
434,1986,3,1.71
435,1986,4,-0.59
436,1986,5,0.85
437,1986,6,1.22
438,1986,7,0.12
439,1986,8,-1.09
440,1986,9,-1.12
441,1986,10,1.55
442,1986,11,2.29
443,1986,12,0.99
444,1987,1,-1.15
445,1987,2,-0.73
446,1987,3,0.14
447,1987,4,2.0
448,1987,5,0.98
449,1987,6,-1.82
450,1987,7,0.52
451,1987,8,-0.83
452,1987,9,-1.22
453,1987,10,0.14
454,1987,11,0.18
455,1987,12,0.32
456,1988,1,1.02
457,1988,2,0.76
458,1988,3,-0.17
459,1988,4,-1.17
460,1988,5,0.63
461,1988,6,0.88
462,1988,7,-0.35
463,1988,8,0.04
464,1988,9,-0.99
465,1988,10,-1.08
466,1988,11,-0.34
467,1988,12,0.61
468,1989,1,1.17
469,1989,2,2.0
470,1989,3,1.85
471,1989,4,0.28
472,1989,5,1.38
473,1989,6,-0.27
474,1989,7,0.97
475,1989,8,0.01
476,1989,9,2.05
477,1989,10,-0.03
478,1989,11,0.16
479,1989,12,-1.15
480,1990,1,1.04
481,1990,2,1.41
482,1990,3,1.46
483,1990,4,2.0
484,1990,5,-1.53
485,1990,6,-0.02
486,1990,7,0.53
487,1990,8,0.97
488,1990,9,1.06
489,1990,10,0.23
490,1990,11,-0.24
491,1990,12,0.22
492,1991,1,0.86
493,1991,2,1.04
494,1991,3,-0.2
495,1991,4,0.29
496,1991,5,0.08
497,1991,6,-0.82
498,1991,7,-0.49
499,1991,8,1.23
500,1991,9,0.48
501,1991,10,-0.19
502,1991,11,0.48
503,1991,12,0.46
504,1992,1,-0.13
505,1992,2,1.07
506,1992,3,0.87
507,1992,4,1.86
508,1992,5,2.63
509,1992,6,0.2
510,1992,7,0.16
511,1992,8,0.85
512,1992,9,-0.44
513,1992,10,-1.76
514,1992,11,1.19
515,1992,12,0.47
516,1993,1,1.6
517,1993,2,0.5
518,1993,3,0.67
519,1993,4,0.97
520,1993,5,-0.78
521,1993,6,-0.59
522,1993,7,-3.18
523,1993,8,0.12
524,1993,9,-0.57
525,1993,10,-0.71
526,1993,11,2.56
527,1993,12,1.56
528,1994,1,1.04
529,1994,2,0.46
530,1994,3,1.26
531,1994,4,1.14
532,1994,5,-0.57
533,1994,6,1.52
534,1994,7,1.31
535,1994,8,0.38
536,1994,9,-1.32
537,1994,10,-0.97
538,1994,11,0.64
539,1994,12,2.02
540,1995,1,0.93
541,1995,2,1.14
542,1995,3,1.25
543,1995,4,-0.85
544,1995,5,-1.49
545,1995,6,0.13
546,1995,7,-0.22
547,1995,8,0.69
548,1995,9,0.31
549,1995,10,0.19
550,1995,11,-1.38
551,1995,12,-1.67
552,1996,1,-0.12
553,1996,2,-0.07
554,1996,3,-0.24
555,1996,4,-0.17
556,1996,5,-1.06
557,1996,6,0.56
558,1996,7,0.67
559,1996,8,1.02
560,1996,9,-0.86
561,1996,10,-0.33
562,1996,11,-0.56
563,1996,12,-1.41
564,1997,1,-0.49
565,1997,2,1.7
566,1997,3,1.46
567,1997,4,-1.02
568,1997,5,-0.28
569,1997,6,-1.47
570,1997,7,0.34
571,1997,8,0.83
572,1997,9,0.61
573,1997,10,-1.7
574,1997,11,-0.9
575,1997,12,-0.96
576,1998,1,0.39
577,1998,2,-0.11
578,1998,3,0.87
579,1998,4,-0.68
580,1998,5,-1.32
581,1998,6,-2.72
582,1998,7,-0.48
583,1998,8,-0.02
584,1998,9,-2.0
585,1998,10,-0.29
586,1998,11,-0.28
587,1998,12,0.87
588,1999,1,0.77
589,1999,2,0.29
590,1999,3,0.23
591,1999,4,-0.95
592,1999,5,0.92
593,1999,6,1.12
594,1999,7,-0.9
595,1999,8,0.39
596,1999,9,0.36
597,1999,10,0.2
598,1999,11,0.65
599,1999,12,1.61
600,2000,1,0.6
601,2000,2,1.7
602,2000,3,0.77
603,2000,4,-0.03
604,2000,5,1.58
605,2000,6,-0.03
606,2000,7,-1.03
607,2000,8,-0.29
608,2000,9,-0.21
609,2000,10,0.92
610,2000,11,-0.92
611,2000,12,-0.58
612,2001,1,0.25
613,2001,2,0.45
614,2001,3,-1.26
615,2001,4,0.0
616,2001,5,-0.02
617,2001,6,-0.2
618,2001,7,-0.25
619,2001,8,-0.07
620,2001,9,-0.65
621,2001,10,-0.24
622,2001,11,0.63
623,2001,12,-0.83
624,2002,1,0.44
625,2002,2,1.1
626,2002,3,0.69
627,2002,4,1.18
628,2002,5,-0.22
629,2002,6,0.38
630,2002,7,0.62
631,2002,8,0.38
632,2002,9,-0.7
633,2002,10,-2.28
634,2002,11,-0.18
635,2002,12,-0.94
636,2003,1,0.16
637,2003,2,0.62
638,2003,3,0.32
639,2003,4,-0.18
640,2003,5,0.01
641,2003,6,-0.07
642,2003,7,0.13
643,2003,8,-0.07
644,2003,9,0.01
645,2003,10,-1.26
646,2003,11,0.86
647,2003,12,0.64
648,2004,1,-0.29
649,2004,2,-0.14
650,2004,3,1.02
651,2004,4,1.15
652,2004,5,0.19
653,2004,6,-0.89
654,2004,7,1.13
655,2004,8,-0.48
656,2004,9,0.38
657,2004,10,-1.1
658,2004,11,0.73
659,2004,12,1.21
660,2005,1,1.52
661,2005,2,-0.06
662,2005,3,-1.83
663,2005,4,-0.3
664,2005,5,-1.25
665,2005,6,-0.05
666,2005,7,-0.51
667,2005,8,0.37
668,2005,9,0.63
669,2005,10,-0.98
670,2005,11,-0.31
671,2005,12,-0.44
672,2006,1,1.27
673,2006,2,-0.51
674,2006,3,-1.28
675,2006,4,1.24
676,2006,5,-1.14
677,2006,6,0.84
678,2006,7,0.9
679,2006,8,-1.73
680,2006,9,-1.62
681,2006,10,-2.24
682,2006,11,0.44
683,2006,12,1.34
684,2007,1,0.22
685,2007,2,-0.47
686,2007,3,1.44
687,2007,4,0.17
688,2007,5,0.66
689,2007,6,-1.31
690,2007,7,-0.58
691,2007,8,-0.14
692,2007,9,0.72
693,2007,10,0.45
694,2007,11,0.58
695,2007,12,0.34
696,2008,1,0.89
697,2008,2,0.73
698,2008,3,0.08
699,2008,4,-1.07
700,2008,5,-1.73
701,2008,6,-1.39
702,2008,7,-1.27
703,2008,8,-1.16
704,2008,9,1.02
705,2008,10,-0.04
706,2008,11,-0.32
707,2008,12,-0.28
708,2009,1,-0.01
709,2009,2,0.06
710,2009,3,0.57
711,2009,4,-0.2
712,2009,5,1.68
713,2009,6,-1.21
714,2009,7,-2.15
715,2009,8,-0.19
716,2009,9,1.51
717,2009,10,-1.03
718,2009,11,-0.02
719,2009,12,-1.93
720,2010,1,-1.11
721,2010,2,-1.98
722,2010,3,-0.88
723,2010,4,-0.72
724,2010,5,-1.49
725,2010,6,-0.82
726,2010,7,-0.42
727,2010,8,-1.22
728,2010,9,-0.79
729,2010,10,-0.93
730,2010,11,-1.62
731,2010,12,-1.85
732,2011,1,-0.88
733,2011,2,0.7
734,2011,3,0.61
735,2011,4,2.48
736,2011,5,-0.06
737,2011,6,-1.28
738,2011,7,-1.51
739,2011,8,-1.35
740,2011,9,0.54
741,2011,10,0.39
742,2011,11,1.36
743,2011,12,2.52
744,2012,1,1.17
745,2012,2,0.42
746,2012,3,1.27
747,2012,4,0.47
748,2012,5,-0.91
749,2012,6,-2.53
750,2012,7,-1.32
751,2012,8,-0.98
752,2012,9,-0.59
753,2012,10,-2.06
754,2012,11,-0.58
755,2012,12,0.17
756,2013,1,0.35
757,2013,2,-0.45
758,2013,3,-1.61
759,2013,4,0.69
760,2013,5,0.57
