,YR,MON,AMM
246,1970,7,1.2
247,1970,8,0.86
248,1970,9,-0.02
249,1970,10,0.31
250,1970,11,0.51
251,1970,12,0.97
252,1971,1,0.73
253,1971,2,-0.17
254,1971,3,-1.0
255,1971,4,-2.61
256,1971,5,-3.56
257,1971,6,-3.8
258,1971,7,-1.96
259,1971,8,-2.47
260,1971,9,-1.56
261,1971,10,-0.26
262,1971,11,0.73
263,1971,12,-0.44
264,1972,1,-1.63
265,1972,2,-2.15
266,1972,3,-3.12
267,1972,4,-3.04
268,1972,5,-3.32
269,1972,6,-4.31
270,1972,7,-4.77
271,1972,8,-4.91
272,1972,9,-4.75
273,1972,10,-4.5
274,1972,11,-4.93
275,1972,12,-6.82
276,1973,1,-6.53
277,1973,2,-5.69
278,1973,3,-4.97
279,1973,4,-3.62
280,1973,5,-2.54
281,1973,6,-2.47
282,1973,7,-2.15
283,1973,8,-2.06
284,1973,9,-2.02
285,1973,10,-2.4
286,1973,11,-1.91
287,1973,12,-1.17
288,1974,1,-1.49
289,1974,2,-2.91
290,1974,3,-4.81
291,1974,4,-6.31
292,1974,5,-6.22
293,1974,6,-4.9
294,1974,7,-3.89
295,1974,8,-3.66
296,1974,9,-3.9
297,1974,10,-3.46
298,1974,11,-4.12
299,1974,12,-3.91
300,1975,1,-2.14
301,1975,2,-2.4
302,1975,3,-3.01
303,1975,4,-2.42
304,1975,5,-3.16
305,1975,6,-2.9
306,1975,7,-1.17
307,1975,8,-0.55
308,1975,9,-1.13
309,1975,10,-1.35
310,1975,11,-1.67
311,1975,12,-0.62
312,1976,1,-0.02
313,1976,2,-1.1
314,1976,3,-2.74
315,1976,4,-2.43
316,1976,5,-2.81
317,1976,6,-2.12
318,1976,7,0.02
319,1976,8,1.56
320,1976,9,1.4
321,1976,10,0.82
322,1976,11,-0.66
323,1976,12,-2.15
324,1977,1,-1.98
325,1977,2,-1.57
326,1977,3,-0.83
327,1977,4,-0.31
328,1977,5,-0.08
329,1977,6,0.03
330,1977,7,-0.85
331,1977,8,-1.73
332,1977,9,-2.02
333,1977,10,-2.41
334,1977,11,-2.4
335,1977,12,-1.95
336,1978,1,0.23
337,1978,2,2.0
338,1978,3,3.2
339,1978,4,3.8
340,1978,5,2.05
341,1978,6,-0.39
342,1978,7,-1.32
343,1978,8,-0.54
344,1978,9,0.17
345,1978,10,0.51
346,1978,11,0.05
347,1978,12,-1.09
348,1979,1,1.15
349,1979,2,2.5
350,1979,3,2.37
351,1979,4,2.16
352,1979,5,2.42
353,1979,6,1.96
354,1979,7,1.16
355,1979,8,-0.42
356,1979,9,-0.89
357,1979,10,-0.26
358,1979,11,0.08
359,1979,12,0.89
360,1980,1,2.99
361,1980,2,3.35
362,1980,3,3.01
363,1980,4,4.19
364,1980,5,5.1
365,1980,6,3.64
366,1980,7,1.53
367,1980,8,1.73
368,1980,9,0.89
369,1980,10,0.22
370,1980,11,0.68
371,1980,12,0.75
372,1981,1,1.72
373,1981,2,2.78
374,1981,3,5.09
375,1981,4,4.03
376,1981,5,3.68
377,1981,6,2.19
378,1981,7,1.41
379,1981,8,0.32
380,1981,9,0.02
381,1981,10,-0.9
382,1981,11,-0.17
383,1981,12,1.91
384,1982,1,0.37
385,1982,2,-0.22
386,1982,3,-0.45
387,1982,4,-0.68
388,1982,5,0.31
389,1982,6,-0.3
390,1982,7,-0.92
391,1982,8,-0.75
392,1982,9,-2.21
393,1982,10,-3.12
394,1982,11,-4.18
395,1982,12,-5.89
396,1983,1,-5.87
397,1983,2,-3.18
398,1983,3,1.56
399,1983,4,2.41
400,1983,5,1.11
401,1983,6,1.25
402,1983,7,0.67
403,1983,8,-0.98
404,1983,9,-1.12
405,1983,10,-0.4
406,1983,11,0.42
407,1983,12,0.52
408,1984,1,-1.62
409,1984,2,-2.97
410,1984,3,-3.43
411,1984,4,-2.76
412,1984,5,-1.77
413,1984,6,-2.65
414,1984,7,-3.17
415,1984,8,-3.57
416,1984,9,-3.43
417,1984,10,-3.14
418,1984,11,-3.12
419,1984,12,-2.68
420,1985,1,-3.04
421,1985,2,-2.71
422,1985,3,-3.92
423,1985,4,-3.9
424,1985,5,-4.94
425,1985,6,-0.62
426,1985,7,0.12
427,1985,8,-0.26
428,1985,9,-0.39
429,1985,10,-1.1
430,1985,11,-0.23
431,1985,12,-1.88
432,1986,1,-3.85
433,1986,2,-4.4
434,1986,3,-4.39
435,1986,4,-5.2
436,1986,5,-4.42
437,1986,6,-4.37
438,1986,7,-3.02
439,1986,8,-2.75
440,1986,9,-1.68
441,1986,10,-2.34
442,1986,11,-3.41
443,1986,12,-5.95
444,1987,1,-3.66
445,1987,2,-2.74
446,1987,3,0.18
447,1987,4,0.93
448,1987,5,0.57
449,1987,6,2.34
450,1987,7,0.22
451,1987,8,0.78
452,1987,9,0.38
453,1987,10,0.58
454,1987,11,-0.68
455,1987,12,1.1
456,1988,1,-1.36
457,1988,2,-2.51
458,1988,3,-0.66
459,1988,4,1.39
460,1988,5,0.48
461,1988,6,1.71
462,1988,7,1.74
463,1988,8,0.47
464,1988,9,0.2
465,1988,10,-0.28
466,1988,11,0.08
467,1988,12,-0.21
468,1989,1,-2.6
469,1989,2,-2.84
470,1989,3,-4.84
471,1989,4,-5.79
472,1989,5,-4.45
473,1989,6,0.35
474,1989,7,2.14
475,1989,8,2.68
476,1989,9,0.52
477,1989,10,0.54
478,1989,11,-0.24
479,1989,12,1.63
480,1990,1,-0.18
481,1990,2,-1.27
482,1990,3,-1.6
483,1990,4,-0.8
484,1990,5,0.61
485,1990,6,-0.3
486,1990,7,0.91
487,1990,8,2.1
488,1990,9,2.08
489,1990,10,1.35
490,1990,11,0.83
491,1990,12,-0.54
492,1991,1,-1.29
493,1991,2,-1.19
494,1991,3,-2.06
495,1991,4,-3.57
496,1991,5,-4.43
497,1991,6,-5.03
498,1991,7,-4.12
499,1991,8,-2.15
500,1991,9,0.38
501,1991,10,-1.31
502,1991,11,-1.22
503,1991,12,-2.19
504,1992,1,-1.47
505,1992,2,-0.98
506,1992,3,-0.75
507,1992,4,-1.21
508,1992,5,-0.34
509,1992,6,0.02
510,1992,7,0.68
511,1992,8,0.08
512,1992,9,-0.02
513,1992,10,0.06
514,1992,11,-0.71
515,1992,12,-1.34
516,1993,1,-2.26
517,1993,2,-2.51
518,1993,3,-3.14
519,1993,4,-3.26
520,1993,5,-2.3
521,1993,6,-0.88
522,1993,7,-2.55
523,1993,8,-2.52
524,1993,9,-2.64
525,1993,10,-3.22
526,1993,11,-5.27
527,1993,12,-5.93
528,1994,1,-6.23
529,1994,2,-5.47
530,1994,3,-5.56
531,1994,4,-4.92
532,1994,5,-4.82
533,1994,6,-3.49
534,1994,7,-2.31
535,1994,8,-2.24
536,1994,9,-1.71
537,1994,10,-1.42
538,1994,11,-1.7
539,1994,12,-2.24
540,1995,1,-1.37
541,1995,2,-1.66
542,1995,3,-3.49
543,1995,4,-1.58
544,1995,5,0.76
545,1995,6,1.33
546,1995,7,2.48
547,1995,8,2.99
548,1995,9,2.91
549,1995,10,3.46
550,1995,11,4.66
551,1995,12,4.35
552,1996,1,5.71
553,1996,2,2.64
554,1996,3,0.09
555,1996,4,0.02
556,1996,5,-0.15
557,1996,6,-1.58
558,1996,7,-1.27
559,1996,8,-0.58
560,1996,9,0.53
561,1996,10,1.17
562,1996,11,1.42
563,1996,12,2.32
564,1997,1,4.26
565,1997,2,3.32
566,1997,3,2.7
567,1997,4,2.11
568,1997,5,2.52
569,1997,6,2.32
570,1997,7,0.23
571,1997,8,-1.4
572,1997,9,-1.16
573,1997,10,-0.15
574,1997,11,-0.35
575,1997,12,-1.44
576,1998,1,-1.55
577,1998,2,1.52
578,1998,3,2.17
579,1998,4,0.74
580,1998,5,1.2
581,1998,6,1.42
582,1998,7,0.85
583,1998,8,1.89
584,1998,9,1.35
585,1998,10,4.11
586,1998,11,4.39
587,1998,12,3.97
588,1999,1,1.36
589,1999,2,-0.3
590,1999,3,-2.06
591,1999,4,-2.8
592,1999,5,-1.87
593,1999,6,-0.83
594,1999,7,-1.1
595,1999,8,0.94
596,1999,9,2.35
597,1999,10,2.2
598,1999,11,2.29
599,1999,12,3.66
600,2000,1,1.19
