,YR,MON,SEAS,TOTAL,ANOM,STATE
715,2009,8,JAS,27.53,0.58,warm
716,2009,9,ASO,27.47,0.71,warm
717,2009,10,SON,27.72,1.01,warm
718,2009,11,OND,28.03,1.36,warm
719,2009,12,NDJ,28.18,1.56,warm
720,2010,1,DJF,28.14,1.5,warm
721,2010,2,JFM,28.09,1.22,warm
722,2010,3,FMA,28.14,0.84,warm
723,2010,4,MAM,28.04,0.35,neutral
724,2010,5,AMJ,27.66,-0.17,neutral
725,2010,6,MJJ,27.0,-0.66,cold
726,2010,7,JJA,26.25,-1.05,cold
727,2010,8,JAS,25.61,-1.35,cold
728,2010,9,ASO,25.21,-1.56,cold
729,2010,10,SON,25.07,-1.64,cold
730,2010,11,OND,25.03,-1.64,cold
731,2010,12,NDJ,25.02,-1.59,cold
732,2011,1,DJF,25.22,-1.42,cold
733,2011,2,JFM,25.68,-1.19,cold
734,2011,3,FMA,26.37,-0.93,cold
735,2011,4,MAM,26.95,-0.73,cold
736,2011,5,AMJ,27.28,-0.55,cold
737,2011,6,MJJ,27.21,-0.44,neutral
738,2011,7,JJA,26.81,-0.48,cold
739,2011,8,JAS,26.33,-0.62,cold
740,2011,9,ASO,25.93,-0.83,cold
741,2011,10,SON,25.7,-1.01,cold
742,2011,11,OND,25.58,-1.09,cold
743,2011,12,NDJ,25.58,-1.04,cold
744,2012,1,DJF,25.77,-0.86,cold
745,2012,2,JFM,26.15,-0.72,cold
746,2012,3,FMA,26.71,-0.59,cold
747,2012,4,MAM,27.21,-0.47,cold
748,2012,5,AMJ,27.57,-0.26,neutral
749,2012,6,MJJ,27.64,-0.01,neutral
750,2012,7,JJA,27.54,0.25,neutral
751,2012,8,JAS,27.32,0.37,neutral
752,2012,9,ASO,27.13,0.37,neutral
753,2012,10,SON,26.98,0.27,neutral
754,2012,11,OND,26.73,0.05,neutral
755,2012,12,NDJ,26.41,-0.21,neutral
756,2013,1,DJF,26.21,-0.43,neutral
757,2013,2,JFM,26.44,-0.43,neutral
758,2013,3,FMA,26.96,-0.34,neutral
759,2013,4,MAM,27.38,-0.3,neutral
760,2013,5,AMJ,27.47,-0.36,neutral
761,2013,6,MJJ,27.24,-0.41,neutral
762,2013,7,JJA,26.89,-0.4,neutral
763,2013,8,JAS,26.64,-0.32,neutral
764,2013,9,ASO,26.51,-0.26,neutral
765,2013,10,SON,26.54,-0.18,neutral
766,2013,11,OND,26.5,-0.17,neutral
767,2013,12,NDJ,26.35,-0.27,neutral
768,2014,1,DJF,26.22,-0.42,neutral
769,2014,2,JFM,26.41,-0.46,neutral
770,2014,3,FMA,27.03,-0.27,neutral
771,2014,4,MAM,27.73,0.04,neutral
772,2014,5,AMJ,28.04,0.21,neutral
773,2014,6,MJJ,27.82,0.16,neutral
774,2014,7,JJA,27.34,0.05,neutral
775,2014,8,JAS,27.02,0.07,neutral
776,2014,9,ASO,27.0,0.23,neutral
777,2014,10,SON,27.21,0.49,warm
778,2014,11,OND,27.31,0.64,warm
779,2014,12,NDJ,27.28,0.66,warm
780,2015,1,DJF,27.19,0.55,warm
781,2015,2,JFM,27.34,0.47,warm
782,2015,3,FMA,27.82,0.53,warm
783,2015,4,MAM,28.38,0.7,warm
784,2015,5,AMJ,28.76,0.93,warm
785,2015,6,MJJ,28.83,1.18,warm
786,2015,7,JJA,28.81,1.52,warm
787,2015,8,JAS,28.82,1.86,warm
788,2015,9,ASO,28.93,2.16,warm
789,2015,10,SON,29.14,2.42,warm
790,2015,11,OND,29.25,2.57,warm
791,2015,12,NDJ,29.26,2.64,warm
792,2016,1,DJF,29.12,2.48,warm
793,2016,2,JFM,29.01,2.14,warm
794,2016,3,FMA,28.88,1.58,warm
795,2016,4,MAM,28.62,0.94,warm
796,2016,5,AMJ,28.22,0.39,neutral
797,2016,6,MJJ,27.59,-0.07,neutral
798,2016,7,JJA,26.93,-0.36,neutral
799,2016,8,JAS,26.42,-0.54,cold
800,2016,9,ASO,26.14,-0.63,cold
801,2016,10,SON,26.02,-0.69,cold
802,2016,11,OND,26.01,-0.67,cold
803,2016,12,NDJ,26.06,-0.56,cold
804,2017,1,DJF,26.3,-0.34,neutral
805,2017,2,JFM,26.71,-0.16,neutral
806,2017,3,FMA,27.35,0.05,neutral
807,2017,4,MAM,27.89,0.2,neutral
808,2017,5,AMJ,28.13,0.3,neutral
809,2017,6,MJJ,27.97,0.31,neutral
810,2017,7,JJA,27.43,0.14,neutral
811,2017,8,JAS,26.84,-0.11,neutral
812,2017,9,ASO,26.38,-0.38,neutral
813,2017,10,SON,26.06,-0.65,cold
814,2017,11,OND,25.84,-0.84,cold
815,2017,12,NDJ,25.64,-0.97,cold
816,2018,1,DJF,25.72,-0.92,cold
817,2018,2,JFM,26.02,-0.85,cold
818,2018,3,FMA,26.6,-0.7,cold
819,2018,4,MAM,27.18,-0.5,cold
820,2018,5,AMJ,27.61,-0.22,neutral
821,2018,6,MJJ,27.64,-0.01,neutral
822,2018,7,JJA,27.38,0.09,neutral
823,2018,8,JAS,27.18,0.23,neutral
824,2018,9,ASO,27.25,0.49,warm
825,2018,10,SON,27.47,0.76,warm
826,2018,11,OND,27.57,0.9,warm
827,2018,12,NDJ,27.43,0.81,warm
828,2019,1,DJF,27.39,0.75,warm
829,2019,2,JFM,27.59,0.72,warm
830,2019,3,FMA,28.01,0.71,warm
831,2019,4,MAM,28.34,0.66,warm
832,2019,5,AMJ,28.37,0.54,warm
833,2019,6,MJJ,28.1,0.45,warm
834,2019,7,JJA,27.57,0.28,neutral
835,2019,8,JAS,27.1,0.14,neutral
836,2019,9,ASO,26.95,0.19,neutral
837,2019,10,SON,27.06,0.35,neutral
838,2019,11,OND,27.18,0.51,neutral
839,2019,12,NDJ,27.17,0.55,neutral
840,2020,1,DJF,27.14,0.5,neutral
841,2020,2,JFM,27.35,0.48,neutral
842,2020,3,FMA,27.7,0.4,neutral
843,2020,4,MAM,27.87,0.19,neutral
844,2020,5,AMJ,27.75,-0.08,neutral
845,2020,6,MJJ,27.35,-0.3,neutral
846,2020,7,JJA,26.88,-0.41,neutral
847,2020,8,JAS,26.38,-0.57,cold
848,2020,9,ASO,25.87,-0.89,cold
849,2020,10,SON,25.54,-1.17,cold
850,2020,11,OND,25.4,-1.27,cold
851,2020,12,NDJ,25.43,-1.19,cold
852,2021,1,DJF,25.59,-1.05,cold
853,2021,2,JFM,25.94,-0.93,cold
854,2021,3,FMA,26.46,-0.84,cold
855,2021,4,MAM,27.03,-0.66,cold
856,2021,5,AMJ,27.35,-0.48,neutral
857,2021,6,MJJ,27.28,-0.38,neutral
858,2021,7,JJA,26.89,-0.4,neutral
859,2021,8,JAS,26.46,-0.49,neutral
860,2021,9,ASO,26.09,-0.67,cold
861,2021,10,SON,25.9,-0.81,cold
862,2021,11,OND,25.69,-0.98,cold
863,2021,12,NDJ,25.63,-0.98,cold
864,2022,1,DJF,25.67,-0.97,cold
865,2022,2,JFM,25.94,-0.93,cold
866,2022,3,FMA,26.31,-0.99,cold
867,2022,4,MAM,26.62,-1.06,cold
868,2022,5,AMJ,26.84,-0.99,cold
869,2022,6,MJJ,26.8,-0.85,cold
870,2022,7,JJA,26.48,-0.81,cold
871,2022,8,JAS,26.04,-0.91,cold
872,2022,9,ASO,25.75,-1.01,cold
873,2022,10,SON,25.72,-0.99,cold
874,2022,11,OND,25.76,-0.92,cold
875,2022,12,NDJ,25.79,-0.83,cold
876,2023,1,DJF,25.96,-0.68,cold
877,2023,2,JFM,26.44,-0.43,neutral
878,2023,3,FMA,27.15,-0.15,neutral
879,2023,4,MAM,27.85,0.16,neutral
880,2023,5,AMJ,28.31,0.48,neutral
881,2023,6,MJJ,28.42,0.77,warm
882,2023,7,JJA,28.36,1.07,warm
883,2023,8,JAS,28.28,1.32,warm
884,2023,9,ASO,28.32,1.56,warm
885,2023,10,SON,28.49,1.78,warm
886,2023,11,OND,28.6,1.92,warm
887,2023,12,NDJ,28.57,1.95,warm
888,2024,1,DJF,28.42,1.78,warm
889,2024,2,JFM,28.35,1.48,warm
890,2024,3,FMA,28.43,1.14,warm
891,2024,4,MAM,28.39,0.71,warm
892,2024,5,AMJ,28.22,0.39,neutral
893,2024,6,MJJ,27.8,0.15,neutral
894,2024,7,JJA,27.33,0.03,neutral
895,2024,8,JAS,26.85,-0.11,neutral
896,2024,9,ASO,26.55,-0.21,neutral
897,2024,10,SON,26.45,-0.26,neutral
898,2024,11,OND,26.3,-0.37,neutral
899,2024,12,NDJ,26.08,-0.53,neutral
